# K6V - Radiance Spectrum, 50% Clear, 25% Cirrus, 25% Stratocumulus
# ----------------------------------------------------------
# Spectral Unit: Wavelength [um]
# Radiance Unit: Spectral Radiance [W/sr/m2/um]
# ----------------------------------------------------------
Wavelength	NoN2O		1Tmol		10Tmol		100Tmol
5.000       0.909       0.909       0.909       0.905
5.050       1.219       1.218       1.209       1.084
5.101       1.005       1.005       1.004       0.984
5.152       0.886       0.886       0.885       0.883
5.203       0.727       0.727       0.727       0.724
5.255       0.972       0.969       0.936       0.616
5.308       0.968       0.947       0.817       0.323
5.361       0.790       0.786       0.736       0.353
5.414       0.680       0.679       0.675       0.599
5.468       0.631       0.631       0.630       0.626
5.523       0.815       0.815       0.815       0.814
5.578       0.639       0.639       0.639       0.639
5.634       0.554       0.554       0.553       0.548
5.690       0.662       0.661       0.657       0.600
5.747       0.502       0.502       0.500       0.479
5.805       0.624       0.624       0.623       0.611
5.863       0.505       0.505       0.504       0.503
5.922       0.511       0.511       0.510       0.509
5.981       0.600       0.600       0.599       0.598
6.041       0.573       0.573       0.571       0.566
6.101       0.643       0.643       0.641       0.620
6.162       0.732       0.732       0.726       0.680
6.224       1.031       1.031       1.020       0.955
6.286       1.272       1.272       1.262       1.206
6.349       0.824       0.824       0.823       0.821
6.412       0.653       0.653       0.651       0.650
6.476       0.672       0.672       0.670       0.669
6.541       0.831       0.831       0.830       0.829
6.606       0.873       0.873       0.870       0.868
6.673       1.063       1.063       1.063       1.063
6.739       1.457       1.457       1.458       1.458
6.807       1.236       1.236       1.237       1.237
6.875       1.422       1.422       1.423       1.423
6.943       1.658       1.658       1.659       1.659
7.013       1.726       1.726       1.728       1.728
7.083       2.248       2.248       2.253       2.248
7.154       1.813       1.813       1.815       1.814
7.225       2.446       2.446       2.471       2.477
7.298       2.325       2.325       2.432       2.485
7.371       2.111       2.111       2.426       2.640
7.444       2.088       2.088       2.347       2.468
7.519       2.806       2.757       2.563       1.259
7.594       2.810       1.955       0.945       1.133
7.670       1.826       1.009       0.929       1.592
7.747       3.008       1.339       0.907       1.501
7.824       3.523       1.125       0.962       1.643
7.902       2.664       1.462       0.929       1.515
7.981       3.986       2.938       1.254       1.153
8.061       4.201       3.954       2.586       1.049
8.142       4.926       4.859       4.356       1.847
8.223       5.058       5.031       4.836       2.565
8.305       5.673       5.463       4.295       1.681
8.388       5.676       4.934       2.495       1.074
8.472       5.991       4.571       1.846       1.157
8.557       5.929       5.185       2.696       1.203
8.643       6.182       4.740       1.889       1.231
8.729       6.258       5.184       2.456       1.247
8.816       6.178       5.953       4.365       1.715
8.905       6.256       6.237       6.019       3.809
8.994       6.371       6.370       6.365       6.140
9.083       6.430       6.430       6.436       6.440
9.174       6.498       6.498       6.506       6.515
9.266       6.478       6.477       6.479       6.419
9.359       6.353       6.353       6.372       6.277
9.452       5.080       5.080       5.199       5.851
9.547       5.647       5.647       5.754       6.136
9.642       5.424       5.424       5.600       6.115
9.739       5.561       5.561       5.670       6.204
9.836       5.994       5.994       6.100       6.463
9.934       6.520       6.520       6.588       6.737
10.034       6.778       6.778       6.801       6.843
10.134       6.846       6.846       6.851       6.861
10.235       6.808       6.807       6.807       6.786
10.338       6.850       6.850       6.839       6.632
10.441       6.858       6.855       6.815       6.231
10.546       6.825       6.821       6.777       6.134
10.651       6.872       6.871       6.856       6.592
10.758       6.876       6.873       6.828       6.154
10.865       6.847       6.845       6.815       6.360
10.974       6.792       6.791       6.779       6.561
11.084       6.829       6.829       6.825       6.745
11.194       6.797       6.797       6.796       6.772
11.306       6.729       6.729       6.728       6.722
11.419       6.725       6.725       6.726       6.725
11.534       6.670       6.670       6.670       6.669
11.649       6.659       6.659       6.659       6.658
11.765       6.521       6.521       6.521       6.520
11.883       6.531       6.531       6.531       6.529
12.002       6.535       6.535       6.535       6.534
12.122       6.449       6.449       6.449       6.447
12.243       6.330       6.330       6.330       6.329
12.366       6.293       6.293       6.292       6.289
12.489       5.957       5.957       5.957       5.956
12.614       6.016       6.016       6.015       6.011
12.740       6.065       6.065       6.065       6.065
12.868       5.944       5.944       5.944       5.942
12.996       5.908       5.908       5.909       5.908
13.126       5.692       5.692       5.692       5.690
13.258       5.090       5.090       5.089       5.089
13.390       4.518       4.518       4.515       4.515
13.524       3.676       3.676       3.673       3.670
13.659       3.691       3.690       3.687       3.674
13.796       3.606       3.606       3.601       3.561
13.934       2.963       2.963       2.959       2.930
14.073       2.700       2.700       2.696       2.662
14.214       2.171       2.171       2.169       2.163
14.356       1.956       1.956       1.955       1.965
14.500       1.944       1.944       1.942       1.943
14.645       2.050       2.050       2.048       2.049
14.791       2.107       2.107       2.106       2.106
14.939       2.668       2.668       2.666       2.666
15.088       2.105       2.105       2.103       2.104
15.239       1.982       1.982       1.981       1.982
15.392       2.048       2.048       2.046       2.047
15.546       1.875       1.875       1.874       1.874
15.701       1.878       1.878       1.877       1.875
15.858       2.051       2.051       2.046       1.989
16.017       2.485       2.479       2.406       1.963
16.177       2.307       2.296       2.188       1.852
16.339       2.913       2.773       2.140       1.827
16.502       2.932       2.655       1.890       1.936
16.667       3.019       2.649       1.818       1.958
16.834       3.046       2.728       1.867       1.906
17.002       3.448       2.801       1.953       2.047
17.172       3.216       2.853       1.913       1.866
17.344       3.257       2.779       1.826       1.882
17.517       3.159       2.843       1.955       1.768
17.692       3.209       3.014       2.258       1.673
17.869       3.471       3.298       2.645       1.715
18.048       3.222       3.180       2.856       1.894
18.228       2.905       2.898       2.819       2.193
18.411       3.009       3.007       2.984       2.677
18.595       2.908       2.907       2.904       2.835
18.781       3.088       3.088       3.087       3.060
18.969       2.587       2.587       2.587       2.585
19.158       2.733       2.733       2.734       2.733
19.350       2.469       2.469       2.469       2.469
19.543       2.639       2.639       2.639       2.639
19.739       2.411       2.411       2.411       2.411
19.936       2.396       2.396       2.396       2.395
