# Proxima Centauri - Radiance Spectrum, 50% Clear, 25% Cirrus, 25% Stratocumulus
# ----------------------------------------------------------
# Spectral Unit: Wavelength [um]
# Radiance Unit: Spectral Radiance [W/sr/m2/um]
# ----------------------------------------------------------
Wavelength	NoN2O		1Tmol		10Tmol		100Tmol
5.000       0.898       0.898       0.899       0.899
5.050       1.203       1.203       1.200       1.142
5.101       1.001       1.001       1.001       0.993
5.152       0.883       0.883       0.883       0.883
5.203       0.726       0.726       0.726       0.725
5.255       0.971       0.970       0.959       0.776
5.308       0.967       0.959       0.903       0.499
5.361       0.790       0.788       0.772       0.525
5.414       0.682       0.682       0.680       0.645
5.468       0.632       0.632       0.632       0.630
5.523       0.816       0.816       0.816       0.816
5.578       0.642       0.642       0.642       0.642
5.634       0.558       0.558       0.558       0.555
5.690       0.664       0.663       0.662       0.636
5.747       0.507       0.507       0.507       0.497
5.805       0.629       0.629       0.629       0.624
5.863       0.514       0.514       0.514       0.514
5.922       0.519       0.519       0.519       0.520
5.981       0.604       0.604       0.604       0.605
6.041       0.582       0.582       0.582       0.581
6.101       0.644       0.644       0.646       0.635
6.162       0.714       0.714       0.719       0.673
6.224       0.984       0.984       0.989       0.889
6.286       1.186       1.186       1.193       1.106
6.349       0.828       0.828       0.829       0.828
6.412       0.667       0.667       0.667       0.669
6.476       0.639       0.639       0.643       0.659
6.541       0.835       0.835       0.835       0.837
6.606       0.886       0.886       0.886       0.887
6.673       1.060       1.060       1.061       1.066
6.739       1.408       1.408       1.412       1.432
6.807       1.186       1.186       1.191       1.212
6.875       1.328       1.328       1.336       1.373
6.943       1.553       1.553       1.563       1.605
7.013       1.588       1.588       1.599       1.649
7.083       1.963       1.963       1.985       2.084
7.154       1.682       1.682       1.694       1.745
7.225       1.719       1.719       1.758       1.957
7.298       1.089       1.089       1.123       1.332
7.371       0.793       0.793       0.794       0.840
7.444       0.829       0.829       0.827       0.857
7.519       0.796       0.796       0.804       0.883
7.594       0.963       0.947       0.882       0.954
7.670       1.113       1.112       1.098       1.352
7.747       0.959       0.947       0.908       1.265
7.824       0.968       0.930       0.875       1.376
7.902       0.949       0.947       0.941       1.274
7.981       1.148       1.141       1.111       1.018
8.061       1.338       1.336       1.354       1.139
8.142       2.165       2.163       2.225       2.081
8.223       2.785       2.783       2.852       2.752
8.305       3.567       3.554       3.526       2.264
8.388       4.429       4.296       3.441       1.179
8.472       4.858       4.510       2.946       1.086
8.557       5.110       4.909       3.773       1.314
8.643       5.239       4.808       3.063       1.138
8.729       5.822       5.437       3.753       1.273
8.816       5.846       5.775       5.219       2.291
8.905       5.941       5.934       5.903       4.775
8.994       6.210       6.210       6.223       6.207
9.083       6.301       6.301       6.315       6.377
9.174       6.377       6.377       6.393       6.459
9.266       6.415       6.415       6.423       6.436
9.359       6.272       6.272       6.292       6.373
9.452       5.101       5.101       5.149       5.876
9.547       5.603       5.603       5.648       6.161
9.642       5.293       5.293       5.359       6.116
9.739       5.550       5.550       5.603       6.198
9.836       5.919       5.919       5.966       6.448
9.934       6.396       6.396       6.434       6.723
10.034       6.701       6.701       6.726       6.838
10.134       6.818       6.818       6.828       6.859
10.235       6.803       6.803       6.803       6.797
10.338       6.847       6.847       6.843       6.760
10.441       6.855       6.854       6.842       6.565
10.546       6.822       6.821       6.807       6.503
10.651       6.869       6.869       6.865       6.755
10.758       6.874       6.873       6.860       6.537
10.865       6.846       6.845       6.836       6.624
10.974       6.791       6.791       6.787       6.695
11.084       6.827       6.827       6.826       6.797
11.194       6.795       6.795       6.795       6.785
11.306       6.728       6.727       6.727       6.724
11.419       6.724       6.724       6.724       6.722
11.534       6.668       6.668       6.668       6.667
11.649       6.657       6.657       6.657       6.655
11.765       6.520       6.520       6.520       6.517
11.883       6.529       6.529       6.529       6.525
12.002       6.534       6.534       6.534       6.529
12.122       6.447       6.447       6.447       6.439
12.243       6.328       6.328       6.328       6.324
12.366       6.289       6.289       6.289       6.278
12.489       5.955       5.955       5.955       5.952
12.614       6.009       6.009       6.009       5.997
12.740       6.061       6.061       6.062       6.060
12.868       5.938       5.938       5.939       5.928
12.996       5.899       5.899       5.901       5.897
13.126       5.681       5.681       5.682       5.675
13.258       5.079       5.079       5.078       5.081
13.390       4.503       4.503       4.502       4.505
13.524       3.661       3.661       3.661       3.661
13.659       3.675       3.675       3.674       3.670
13.796       3.591       3.591       3.589       3.574
13.934       2.958       2.958       2.957       2.945
14.073       2.693       2.693       2.691       2.677
14.214       2.176       2.176       2.175       2.171
14.356       1.974       1.974       1.974       1.972
14.500       1.975       1.975       1.974       1.967
14.645       2.090       2.090       2.089       2.080
14.791       2.151       2.151       2.150       2.140
14.939       2.708       2.708       2.709       2.702
15.088       2.145       2.145       2.145       2.136
15.239       2.018       2.018       2.018       2.010
15.392       2.085       2.085       2.085       2.077
15.546       1.899       1.899       1.898       1.893
15.701       1.889       1.889       1.889       1.886
15.858       2.051       2.051       2.049       2.023
16.017       2.476       2.474       2.451       2.135
16.177       2.313       2.309       2.272       1.935
16.339       2.900       2.844       2.497       1.775
16.502       2.919       2.800       2.245       1.790
16.667       3.008       2.844       2.168       1.797
16.834       3.040       2.901       2.266       1.761
17.002       3.441       3.037       2.305       1.904
17.172       3.215       3.045       2.360       1.735
17.344       3.257       3.022       2.236       1.740
17.517       3.160       3.010       2.403       1.671
17.692       3.210       3.123       2.686       1.709
17.869       3.470       3.392       3.029       1.910
18.048       3.222       3.205       3.075       2.187
18.228       2.906       2.903       2.877       2.484
18.411       3.009       3.008       3.001       2.850
18.595       2.908       2.908       2.907       2.878
18.781       3.087       3.087       3.086       3.076
18.969       2.587       2.587       2.587       2.587
19.158       2.733       2.733       2.733       2.733
19.350       2.470       2.470       2.470       2.470
19.543       2.639       2.639       2.639       2.639
19.739       2.412       2.412       2.412       2.412
19.936       2.397       2.397       2.397       2.397
