# Sun - Radiance Spectrum, 50% Clear, 25% Cirrus, 25% Stratocumulus
# ----------------------------------------------------------
# Spectral Unit: Wavelength [um]
# Radiance Unit: Spectral Radiance [W/sr/m2/um]
# ----------------------------------------------------------
Wavelength	NoN2O		1Tmol		10Tmol		100Tmol
5.000       0.928       0.928       0.928       0.928
5.050       1.252       1.252       1.252       1.247
5.101       1.016       1.016       1.016       1.016
5.152       0.891       0.891       0.891       0.891
5.203       0.729       0.729       0.729       0.729
5.255       0.976       0.975       0.973       0.957
5.308       0.971       0.968       0.954       0.876
5.361       0.791       0.791       0.788       0.763
5.414       0.681       0.680       0.680       0.678
5.468       0.631       0.631       0.631       0.631
5.523       0.815       0.815       0.815       0.815
5.578       0.639       0.639       0.639       0.639
5.634       0.554       0.554       0.553       0.553
5.690       0.661       0.661       0.661       0.659
5.747       0.501       0.501       0.501       0.500
5.805       0.623       0.623       0.623       0.622
5.863       0.504       0.504       0.503       0.503
5.922       0.509       0.509       0.509       0.509
5.981       0.598       0.598       0.598       0.598
6.041       0.570       0.570       0.570       0.569
6.101       0.642       0.642       0.643       0.641
6.162       0.731       0.731       0.730       0.716
6.224       1.030       1.030       1.024       0.994
6.286       1.273       1.273       1.266       1.236
6.349       0.823       0.823       0.823       0.822
6.412       0.651       0.651       0.650       0.650
6.476       0.670       0.670       0.669       0.669
6.541       0.829       0.829       0.829       0.829
6.606       0.869       0.869       0.868       0.868
6.673       1.062       1.062       1.062       1.062
6.739       1.457       1.457       1.457       1.457
6.807       1.237       1.237       1.237       1.237
6.875       1.423       1.423       1.423       1.422
6.943       1.659       1.659       1.659       1.659
7.013       1.729       1.729       1.728       1.728
7.083       2.256       2.256       2.256       2.256
7.154       1.815       1.815       1.815       1.815
7.225       2.494       2.494       2.496       2.497
7.298       2.545       2.545       2.558       2.565
7.371       2.899       2.899       2.988       3.053
7.444       2.698       2.698       2.761       2.807
7.519       3.662       3.650       3.668       3.202
7.594       3.075       2.882       2.178       1.060
7.670       3.430       2.461       1.128       0.728
7.747       4.104       3.158       1.561       0.774
7.824       4.618       3.049       1.259       0.769
7.902       3.945       3.256       1.793       0.838
7.981       5.082       4.705       3.516       1.593
8.061       5.235       5.173       4.895       3.376
8.142       5.395       5.384       5.345       4.881
8.223       5.308       5.305       5.297       5.127
8.305       5.828       5.800       5.648       4.839
8.388       5.738       5.626       5.115       3.284
8.472       6.038       5.767       4.819       2.527
8.557       5.949       5.849       5.359       3.491
8.643       6.194       5.929       4.989       2.602
8.729       6.242       6.090       5.389       3.248
8.816       6.149       6.127       6.008       5.059
8.905       6.216       6.215       6.232       6.150
8.994       6.340       6.340       6.362       6.375
9.083       6.392       6.392       6.418       6.438
9.174       6.442       6.442       6.478       6.504
9.266       6.428       6.428       6.458       6.477
9.359       6.112       6.112       6.240       6.357
9.452       4.258       4.258       4.594       5.112
9.547       4.961       4.961       5.248       5.648
9.642       4.468       4.468       4.867       5.428
9.739       4.801       4.801       5.121       5.570
9.836       5.324       5.324       5.625       6.007
9.934       6.077       6.077       6.293       6.521
10.034       6.580       6.580       6.687       6.778
10.134       6.785       6.785       6.822       6.848
10.235       6.804       6.804       6.807       6.808
10.338       6.851       6.851       6.851       6.846
10.441       6.860       6.859       6.857       6.839
10.546       6.826       6.826       6.823       6.803
10.651       6.874       6.874       6.873       6.866
10.758       6.878       6.878       6.876       6.855
10.865       6.849       6.849       6.848       6.834
10.974       6.794       6.794       6.793       6.788
11.084       6.831       6.831       6.831       6.829
11.194       6.799       6.799       6.799       6.798
11.306       6.730       6.730       6.730       6.730
11.419       6.727       6.727       6.727       6.727
11.534       6.671       6.671       6.671       6.671
11.649       6.660       6.660       6.660       6.660
11.765       6.522       6.522       6.522       6.522
11.883       6.532       6.532       6.532       6.531
12.002       6.537       6.537       6.537       6.536
12.122       6.450       6.450       6.450       6.449
12.243       6.330       6.330       6.330       6.330
12.366       6.291       6.291       6.292       6.290
12.489       5.955       5.955       5.956       5.956
12.614       6.009       6.009       6.010       6.009
12.740       6.058       6.058       6.062       6.064
12.868       5.934       5.934       5.939       5.940
12.996       5.891       5.891       5.899       5.903
13.126       5.673       5.673       5.678       5.681
13.258       5.070       5.070       5.072       5.074
13.390       4.495       4.495       4.495       4.496
13.524       3.653       3.653       3.651       3.650
13.659       3.667       3.667       3.665       3.664
13.796       3.581       3.581       3.579       3.578
13.934       2.947       2.947       2.944       2.942
14.073       2.686       2.686       2.682       2.679
14.214       2.163       2.163       2.161       2.160
14.356       1.955       1.955       1.953       1.953
14.500       1.948       1.948       1.947       1.946
14.645       2.056       2.056       2.055       2.055
14.791       2.113       2.113       2.113       2.113
14.939       2.672       2.672       2.672       2.673
15.088       2.110       2.110       2.110       2.110
15.239       1.987       1.987       1.987       1.987
15.392       2.052       2.052       2.052       2.052
15.546       1.876       1.876       1.876       1.876
15.701       1.875       1.875       1.874       1.874
15.858       2.042       2.042       2.041       2.038
16.017       2.471       2.471       2.465       2.429
16.177       2.298       2.297       2.290       2.234
16.339       2.897       2.881       2.790       2.349
16.502       2.917       2.883       2.699       2.068
16.667       3.006       2.958       2.712       1.981
16.834       3.038       2.998       2.786       2.067
17.002       3.440       3.237       2.854       2.083
17.172       3.213       3.161       2.919       2.145
17.344       3.256       3.180       2.862       2.024
17.517       3.159       3.112       2.900       2.202
17.692       3.209       3.183       3.052       2.516
17.869       3.471       3.448       3.333       2.887
18.048       3.223       3.218       3.190       3.004
