# TRAPPIST-1 - Radiance Spectrum, 50% Clear, 25% Cirrus, 25% Stratocumulus
# ----------------------------------------------------------
# Spectral Unit: Wavelength [um]
# Radiance Unit: Spectral Radiance [W/sr/m2/um]
# ----------------------------------------------------------
Wavelength	NoN2O		1Tmol		10Tmol		100Tmol
5.000       0.884       0.884       0.884       0.883
5.050       1.191       1.191       1.187       1.155
5.101       0.985       0.985       0.985       0.980
5.152       0.866       0.866       0.866       0.865
5.203       0.707       0.707       0.707       0.707
5.255       0.950       0.949       0.936       0.826
5.308       0.946       0.936       0.872       0.594
5.361       0.770       0.768       0.748       0.592
5.414       0.662       0.662       0.660       0.640
5.468       0.611       0.611       0.611       0.610
5.523       0.792       0.792       0.792       0.792
5.578       0.620       0.620       0.620       0.620
5.634       0.536       0.536       0.536       0.535
5.690       0.640       0.640       0.638       0.623
5.747       0.488       0.488       0.488       0.481
5.805       0.607       0.607       0.607       0.603
5.863       0.496       0.496       0.496       0.496
5.922       0.500       0.500       0.500       0.500
5.981       0.580       0.580       0.580       0.579
6.041       0.560       0.560       0.560       0.559
6.101       0.617       0.617       0.616       0.613
6.162       0.678       0.678       0.677       0.674
6.224       0.935       0.935       0.934       0.930
6.286       1.135       1.135       1.134       1.128
6.349       0.790       0.790       0.790       0.790
6.412       0.643       0.643       0.642       0.642
6.476       0.631       0.631       0.630       0.627
6.541       0.801       0.801       0.801       0.800
6.606       0.851       0.851       0.851       0.851
6.673       1.020       1.020       1.020       1.019
6.739       1.367       1.367       1.366       1.361
6.807       1.152       1.152       1.152       1.146
6.875       1.301       1.301       1.300       1.291
6.943       1.524       1.524       1.523       1.512
7.013       1.561       1.561       1.559       1.547
7.083       1.952       1.952       1.949       1.923
7.154       1.658       1.658       1.656       1.643
7.225       1.747       1.747       1.740       1.696
7.298       1.128       1.128       1.123       1.085
7.371       0.836       0.836       0.837       0.840
7.444       0.875       0.875       0.876       0.883
7.519       0.832       0.832       0.831       0.831
7.594       1.000       0.977       0.881       0.957
7.670       1.189       1.188       1.205       1.424
7.747       1.003       0.986       0.968       1.271
7.824       1.008       0.956       0.950       1.373
7.902       0.998       0.996       1.012       1.287
7.981       1.197       1.186       1.113       1.045
8.061       1.398       1.395       1.358       1.163
8.142       2.276       2.273       2.231       1.923
8.223       2.907       2.904       2.863       2.534
8.305       3.707       3.688       3.514       2.502
8.388       4.538       4.355       3.253       1.354
8.472       4.966       4.499       2.688       1.151
8.557       5.198       4.933       3.557       1.504
8.643       5.342       4.775       2.785       1.195
8.729       5.863       5.382       3.494       1.418
8.816       5.875       5.786       5.098       2.764
8.905       5.967       5.959       5.886       5.168
8.994       6.211       6.211       6.206       6.155
9.083       6.295       6.295       6.295       6.293
9.174       6.362       6.362       6.364       6.371
9.266       6.387       6.387       6.387       6.385
9.359       6.222       6.221       6.229       6.272
9.452       5.058       5.058       5.097       5.403
9.547       5.560       5.560       5.590       5.818
9.642       5.233       5.233       5.272       5.585
9.739       5.508       5.508       5.542       5.805
9.836       5.857       5.857       5.885       6.101
9.934       6.319       6.319       6.336       6.470
10.034       6.629       6.629       6.638       6.708
10.134       6.771       6.771       6.775       6.803
10.235       6.778       6.778       6.778       6.776
10.338       6.826       6.826       6.822       6.779
10.441       6.835       6.834       6.820       6.669
10.546       6.801       6.799       6.783       6.617
10.651       6.851       6.850       6.845       6.787
10.758       6.858       6.856       6.840       6.665
10.865       6.829       6.828       6.817       6.703
10.974       6.774       6.773       6.769       6.721
11.084       6.812       6.812       6.811       6.796
11.194       6.780       6.780       6.780       6.775
11.306       6.711       6.711       6.711       6.710
11.419       6.709       6.709       6.709       6.709
11.534       6.653       6.653       6.653       6.653
11.649       6.643       6.643       6.643       6.643
11.765       6.503       6.503       6.503       6.503
11.883       6.514       6.514       6.514       6.514
12.002       6.520       6.520       6.520       6.520
12.122       6.432       6.432       6.432       6.432
12.243       6.310       6.310       6.310       6.311
12.366       6.271       6.271       6.271       6.271
12.489       5.931       5.931       5.931       5.931
12.614       5.980       5.980       5.980       5.980
12.740       6.042       6.042       6.042       6.043
12.868       5.916       5.916       5.916       5.918
12.996       5.874       5.874       5.875       5.878
13.126       5.646       5.646       5.646       5.648
13.258       5.017       5.017       5.017       5.017
13.390       4.415       4.415       4.415       4.413
13.524       3.552       3.552       3.552       3.550
13.659       3.562       3.562       3.561       3.556
13.796       3.475       3.475       3.473       3.461
13.934       2.881       2.881       2.881       2.874
14.073       2.592       2.592       2.592       2.583
14.214       2.145       2.145       2.145       2.144
14.356       2.017       2.017       2.018       2.019
14.500       2.074       2.074       2.074       2.073
14.645       2.229       2.229       2.229       2.228
14.791       2.300       2.300       2.299       2.298
14.939       2.802       2.802       2.802       2.796
15.088       2.285       2.285       2.284       2.283
15.239       2.148       2.148       2.148       2.147
15.392       2.210       2.210       2.210       2.208
15.546       1.974       1.974       1.974       1.973
15.701       1.907       1.907       1.907       1.907
15.858       2.010       2.010       2.009       1.999
16.017       2.398       2.396       2.372       2.191
16.177       2.299       2.294       2.254       2.034
16.339       2.815       2.750       2.385       1.820
16.502       2.838       2.702       2.138       1.791
16.667       2.938       2.747       2.061       1.788
16.834       2.987       2.822       2.152       1.757
17.002       3.398       2.967       2.223       1.905
17.172       3.185       2.979       2.242       1.736
17.344       3.231       2.949       2.123       1.732
17.517       3.136       2.954       2.293       1.692
17.692       3.187       3.080       2.591       1.795
17.869       3.452       3.358       2.952       2.071
18.048       3.203       3.182       3.029       2.375
18.228       2.885       2.881       2.850       2.602
18.411       2.989       2.988       2.979       2.895
18.595       2.888       2.888       2.887       2.871
18.781       3.070       3.070       3.069       3.064
18.969       2.567       2.567       2.567       2.567
19.158       2.715       2.715       2.715       2.715
19.350       2.451       2.451       2.451       2.451
19.543       2.623       2.623       2.623       2.623
19.739       2.393       2.393       2.393       2.393
19.936       2.380       2.380       2.380       2.380
